Model,Sampler,Rank,Best Params,Mean Test Score
AdaBoost,SMOTE,3,"{'learning_rate': 1.0, 'n_estimators': 200}",0.6412234416393519
XGBoost,SMOTE,1,"{'subsample': 0.7, 'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.01, 'colsample_bytree': 0.7}",0.6547707778499835
XGBoost,SMOTE,2,"{'subsample': 0.7, 'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.01, 'colsample_bytree': 0.7}",0.6508280665985432
XGBoost,SMOTE,3,"{'subsample': 0.7, 'n_estimators': 300, 'max_depth': 7, 'learning_rate': 0.01, 'colsample_bytree': 0.7}",0.6381339375729139
LightGBM,SMOTE,1,"{'subsample': 0.9, 'num_leaves': 31, 'n_estimators': 100, 'max_depth': 7, 'learning_rate': 0.01, 'colsample_bytree': 0.8}",0.6610974822491514
LightGBM,SMOTE,2,"{'subsample': 0.7, 'num_leaves': 40, 'n_estimators': 300, 'max_depth': 7, 'learning_rate': 0.01, 'colsample_bytree': 0.7}",0.6552341532104765
LightGBM,SMOTE,3,"{'subsample': 0.7, 'num_leaves': 40, 'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.01, 'colsample_bytree': 0.7}",0.653404431305546
CatBoost,SMOTE,1,"{'learning_rate': 0.01, 'l2_leaf_reg': 7, 'iterations': 100, 'depth': 7}",0.6478429357643706
CatBoost,SMOTE,2,"{'learning_rate': 0.1, 'l2_leaf_reg': 5, 'iterations': 100, 'depth': 7}",0.6406578434621277
CatBoost,SMOTE,3,"{'learning_rate': 0.01, 'l2_leaf_reg': 7, 'iterations': 100, 'depth': 5}",0.6393039059894399
MLPClassifier,SMOTE,1,"{'solver': 'adam', 'hidden_layer_sizes': (50, 50), 'alpha': 0.001, 'activation': 'relu'}",0.7186556863150599
MLPClassifier,SMOTE,2,"{'solver': 'adam', 'hidden_layer_sizes': (100,), 'alpha': 0.001, 'activation': 'relu'}",0.7184768611377544
MLPClassifier,SMOTE,3,"{'solver': 'adam', 'hidden_layer_sizes': (50,), 'alpha': 0.01, 'activation': 'relu'}",0.717156352362021
Logistic Regression,UnderSampler,1,"{'C': 0.01, 'penalty': 'l1', 'solver': 'liblinear'}",0.7382985503278178
Logistic Regression,UnderSampler,2,"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear'}",0.737628758661261
Logistic Regression,UnderSampler,3,"{'C': 100, 'penalty': 'l2', 'solver': 'liblinear'}",0.7373163130279945
LDA,UnderSampler,1,"{'shrinkage': None, 'solver': 'svd'}",0.7391524923911197
LDA,UnderSampler,2,"{'shrinkage': None, 'solver': 'lsqr'}",0.7391524923911197
LDA,UnderSampler,3,"{'shrinkage': 'auto', 'solver': 'lsqr'}",0.7382839157961157
Decision Tree,UnderSampler,1,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.6470426446430501
Decision Tree,UnderSampler,2,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.6470426446430501
Decision Tree,UnderSampler,3,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.6470426446430501
Random Forest,UnderSampler,1,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 5}",0.6515475403491885
Random Forest,UnderSampler,2,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 5}",0.6510508337973465
Random Forest,UnderSampler,3,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 5}",0.649068420930886
AdaBoost,UnderSampler,1,"{'learning_rate': 1.0, 'n_estimators': 50}",0.656210122036629
AdaBoost,UnderSampler,2,"{'learning_rate': 0.1, 'n_estimators': 100}",0.6515168275773383
AdaBoost,UnderSampler,3,"{'learning_rate': 0.1, 'n_estimators': 200}",0.6514403338138725
XGBoost,UnderSampler,1,"{'subsample': 0.9, 'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.01, 'colsample_bytree': 0.9}",0.6535071540455494
XGBoost,UnderSampler,2,"{'subsample': 0.7, 'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.01, 'colsample_bytree': 0.7}",0.6529752752877541
XGBoost,UnderSampler,3,"{'subsample': 0.7, 'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.01, 'colsample_bytree': 0.7}",0.6397530601484472
LightGBM,UnderSampler,1,"{'subsample': 0.7, 'num_leaves': 40, 'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.01, 'colsample_bytree': 0.7}",0.6566184708809656
LightGBM,UnderSampler,2,"{'subsample': 0.9, 'num_leaves': 31, 'n_estimators': 100, 'max_depth': 7, 'learning_rate': 0.01, 'colsample_bytree': 0.8}",0.6548788104518972
LightGBM,UnderSampler,3,"{'subsample': 0.7, 'num_leaves': 20, 'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'colsample_bytree': 0.7}",0.6525904556383252
CatBoost,UnderSampler,1,"{'learning_rate': 0.01, 'l2_leaf_reg': 7, 'iterations': 100, 'depth': 7}",0.6848158634234177
CatBoost,UnderSampler,2,"{'learning_rate': 0.01, 'l2_leaf_reg': 5, 'iterations': 100, 'depth': 5}",0.6745929501862893
CatBoost,UnderSampler,3,"{'learning_rate': 0.01, 'l2_leaf_reg': 7, 'iterations': 100, 'depth': 5}",0.673452394951583
MLPClassifier,UnderSampler,1,"{'solver': 'adam', 'hidden_layer_sizes': (50,), 'alpha': 0.01, 'activation': 'relu'}",0.6385424055678159
MLPClassifier,UnderSampler,2,"{'solver': 'adam', 'hidden_layer_sizes': (50,), 'alpha': 0.0001, 'activation': 'relu'}",0.6260387424152257
MLPClassifier,UnderSampler,3,"{'solver': 'adam', 'hidden_layer_sizes': (50,), 'alpha': 0.001, 'activation': 'relu'}",0.6244772476181675
