Model,Sampler,Tuning Stage,Threshold,ROC-AUC,Accuracy,F1-Score(1),Precision(1),Recall(1),F1-Score(0),Precision(0),Recall(0),F2-Score(1)
MLPClassifier,Original,Tuned,0.55,0.8398202545810602,0.7903991068936645,0.6666666666666666,0.7132003798670465,0.6258333333333334,0.8471402401791166,0.8225296442687747,0.873268988669744,0.6415513411925509
MLPClassifier,Original,Tuned,0.6,0.8398202545810602,0.7906782026234999,0.6511627906976745,0.7368421052631579,0.5833333333333334,0.8504784688995215,0.810102544625902,0.8950902224087285,0.6086956521739131
MLPClassifier,Original,Tuned,0.65,0.8398202545810602,0.7845380965671225,0.628131021194605,0.7442922374429224,0.5433333333333333,0.8483300589390963,0.7975618766161803,0.9060008392782207,0.5743481324876674
Logistic Regression,SMOTE,Baseline,0.35,0.8433385788222129,0.6611777839799051,0.634777376654633,0.4967043314500942,0.8791666666666667,0.6840187402394586,0.9006168608636053,0.5514057910197231,0.761842865395725
Logistic Regression,SMOTE,Baseline,0.4,0.8433385788222129,0.6999720904270165,0.6564397571108981,0.5324002073613271,0.8558333333333333,0.733713153331682,0.8954050785973398,0.6214855224506924,0.7631148759102393
Logistic Regression,SMOTE,Baseline,0.45,0.8433385788222129,0.7379291096846218,0.6791937137000341,0.5755645628257093,0.8283333333333334,0.778485491861288,0.8890086206896551,0.692404532102392,0.7614524283744446
Logistic Regression,SMOTE,Baseline,0.5,0.8433385788222129,0.7650013954786492,0.6931486880466472,0.6159326424870466,0.7925,0.80958842152872,0.8778813143697891,0.751154007553504,0.7495271122320303
Logistic Regression,SMOTE,Baseline,0.55,0.8433385788222129,0.7834217136477812,0.6992248062015504,0.6536231884057971,0.7516666666666667,0.8307893589184474,0.8647299137539719,0.7994125052454889,0.7297734627831716
Logistic Regression,SMOTE,Baseline,0.6,0.8433385788222129,0.7931900641920179,0.6981670061099796,0.6828685258964143,0.7141666666666666,0.8427085544470388,0.8526632302405498,0.8329836340746958,0.7076796036333609
Logistic Regression,SMOTE,Baseline,0.65,0.8433385788222129,0.7984928830588892,0.6885245901639344,0.7137745974955277,0.665,0.8510726072607261,0.8369168356997971,0.8657154846831725,0.6742142615748564
Logistic Regression,SMOTE,Tuned,0.35,0.8457406630297943,0.6533631035445158,0.6318909306461173,0.49034038638454464,0.8883333333333333,0.6724683544303798,0.9048970901348474,0.5350398657154847,0.764267278462862
Logistic Regression,SMOTE,Tuned,0.4,0.8457406630297943,0.6910410270722858,0.6515580736543909,0.5235204855842185,0.8625,0.7224868388067185,0.8972602739726028,0.604699958036089,0.7636122177954847
Logistic Regression,SMOTE,Tuned,0.45,0.8457406630297943,0.7326262908177504,0.6776581426648721,0.5682844243792325,0.8391666666666666,0.7715784453981879,0.8934290447266704,0.6789760805707092,0.7661290322580645
Logistic Regression,SMOTE,Tuned,0.5,0.8457406630297943,0.7638850125593079,0.693033381712627,0.6137532133676092,0.7958333333333333,0.8081632653061225,0.8791317217562901,0.7477968946705833,0.7512586532410321
Logistic Regression,SMOTE,Tuned,0.55,0.8457406630297943,0.7848171922969579,0.7003497862417412,0.6562272396212673,0.7508333333333334,0.8321358589157414,0.8647058823529412,0.8019303399076794,0.7297910254333387
